candidate_id,canonical_run_dir,attempt_index,run_status,current_state,outcome_tier,latency_cycles,lut,dsp,wns_ns,fmax_mhz_est,total_score,score_provisional,implementation_evidence,measurement_quality,provenance_note
mac_baseline_4x4_dw16,/home/keelan/rtl_agent_loop/runs/mac_baseline_4x4_dw16/attempt_0001,1,completed,scored,full_pass,22.0,689.0,16.0,3.028,143.4308663224326,-10.992,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_baseline_8x4_dw16,/home/keelan/rtl_agent_loop/runs/mac_baseline_8x4_dw16/attempt_0001,1,completed,scored,full_pass,38.0,1408.0,32.0,2.851,139.87970345502868,-28.72,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_baseline_8x8_dw16,/home/keelan/rtl_agent_loop/runs/mac_baseline_8x8_dw16/attempt_0001,1,completed,scored,full_pass,70.0,2730.0,64.0,1.49,117.50881316098707,-64.802,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_shared_4x4_sf2_dw16,/home/keelan/rtl_agent_loop/runs/mac_shared_4x4_sf2_dw16/attempt_0002,2,completed,scored,full_pass,26.0,695.0,8.0,2.024,125.37612838515547,-9.066,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_shared_8x4_sf2_dw16,/home/keelan/rtl_agent_loop/runs/mac_shared_8x4_sf2_dw16/attempt_0001,1,completed,scored,full_pass,42.0,1415.0,16.0,1.477,117.32957878681216,-23.542,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_shared_8x8_sf2_dw16,/home/keelan/rtl_agent_loop/runs/mac_shared_8x8_sf2_dw16/attempt_0001,1,completed,scored,full_pass,74.0,2749.0,32.0,1.571,118.63803535413453,-48.834,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_replicated_4x4_c2_dw16,/home/keelan/rtl_agent_loop/runs/mac_replicated_4x4_c2_dw16/attempt_0001,1,completed,scored,full_pass,22.0,1212.0,32.0,4.034,167.61649346295675,-22.21,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_replicated_8x4_c2_dw16,/home/keelan/rtl_agent_loop/runs/mac_replicated_8x4_c2_dw16/attempt_0001,1,completed,scored,full_pass,38.0,2453.0,64.0,2.435,132.18770654329148,-56.002,false,full_implementation,full,Ranking uses latest available resolved artifacts.
mac_replicated_8x8_c2_dw16,/home/keelan/rtl_agent_loop/runs/mac_replicated_8x8_c2_dw16/attempt_0001,1,failed,vivado_failed,synth_only,,41892.0,0.0,2.935,141.5428167020524,-526.462,true,synth_only,provisional_synth_only,vivado uses synth-only metrics from latest run 37
